wnver::2.1
1740n 611392.010869554 ROOT
1930n 269816.887308332
2119n 341455.491509939
2236n 341455.491509939
2533n 6352.47512947578
2819n 1
2929n 1
3037n 0.666666666666667
3122n 164445.406405213
3991n 46046.0613220407
4359n 73718.1830084131
4576n 73631.0044369845
5816n 0
5959n 0
6085n 33.9285714285715
6216n 0
6300n 52.25
7127n 71085.2273394089
7626n 68306.8672383988
15024n 2276.87344126462
16858n 2382.84600840336
18635n 2230.76457455943
19102n 21005.0706906141
20429n 2405.39239453357
20846n 43371.430447115
21810n 227.294642857143
22007n 112195.4074987
22178n 28918.1299589394
22680n 586.913798701299
23153n 49456.1519996138
23591n 21044.0266436994
25099n 2450.42638750139
26074n 40562.9836556813
26552n 5326.08912066265
26997n 3769.73712121212
27378n 17.125
27734n 0
27841n 4.25
28105n 82690.3637410596
28404n 6928.70774361991
29085n 59295.9578113121
29714n 41152.2718539478
30334n 30986.9887784434
31026n 19356.4291927075
31236n 35.0714285714285
31433n 39773.2076891613
32028n 67392.114180269
32604n 3372.97706180173
32870n 31.0320512820512
32965n 30.8333333333333
33168n 0
33330n 0
33580n 5382.24040608085
34088n 1
34282n 0
34452n 1
34733n 0
34896n 4488.06448828949
35417n 2
35501n 0
35611n 44.8888888888889
35807n 15586.7737955672
36532n 0
36619n 62.0737179487183
36930n 0
37220n 0
37378n 45.9742063492063
37568n 0
37654n 12.6527777777778
37902n 0.875
38097n 0
38273n 14
38347n 8
38509n 32.8214285714286
38777n 0.5
38902n 0
39161n 32.3214285714286
39319n 10.5714285714286
39545n 26.1666666666667
39825n 8.15686274509802
39971n 0
40097n 3
40256n 1540.2416971917
40668n 270.397619047619
40898n 22.5714285714285
41114n 403.616666666668
41469n 0
41548n 244.334848484848
41944n 125.083333333333
42237n 213.030952380952
42485n 284.273717948718
42790n 11.7777777777778
43008n 13.3333333333333
43235n 0
43449n 0
43585n 625.288966588967
43981n 39
44242n 157.338095238095
44512n 175.207323232323
44668n 24.9727272727273
44846n 216.846001221002
45342n 1
45430n 43.0000000000001
45680n 0
45874n 0
46069n 44.625
46265n 1
46375n 138.833333333333
46549n 73.8333333333333
46698n 122.60641025641
46980n 0
47152n 46.8333333333333
47327n 33.1166666666667
47668n 0.666666666666667
47854n 1.4
47960n 0
48113n 0.25
48233n 2
48361n 6.8
48519n 42.6282051282051
48808n 0.25
49017n 1.75
49211n 36.4615384615384
49401n 9
49516n 28.4615384615384
49709n 1
49849n 0.166666666666667
50036n 0
50221n 0
50376n 0.4
50470n 0
50658n 6.75
50824n 8.25
51115n 1
51344n 0
51421n 43.1666666666667
51729n 0
51849n 0
51933n 2.25
52130n 0.5
52236n 90.5333333333332
52585n 0
52740n 30.5
52909n 2
53126n 0
53315n 0
53403n 2.83333333333333
53721n 0
53881n 0
54020n 0
54175n 6
54399n 2
54639n 0
54776n 5.5
55000n 11.5
55250n 0
55394n 9
55574n 30.6999999999999
55763n 1.5
55854n 0
56110n 0
56355n 0
56445n 0.5
56627n 4
56716n 0
56851n 174.207323232323
57235n 147.971212121212
57484n 3.26666666666667
57660n 139.454545454545
57836n 0
58003n 5
58097n 3.5
58309n 0
58522n 6.5
58656n 0
58855n 0
58925n 0
59122n 1
59279n 2
59398n 32.25
59561n 0
59706n 47.6666666666667
59900n 0
